,,,Party,Won,Total,,,,
Razole,45,DEVA VARAPRASAD,Janasena Party,21,GOLLAPALLI SURYA RAO,Yuvajana Sramika Rythu Congress Party,11,39011,16/16
Repalle,90,ANAGANI SATYA PRASAD,Telugu Desam,135,EVURU GANESH,Yuvajana Sramika Rythu Congress Party,11,39947,19/19
Salur,13,GUMMIDI SANDHYARANI,Telugu Desam,135,RAJANNA DORA PEEDIKA,Yuvajana Sramika Rythu Congress Party,11,13733,18/18
Santhanuthalapadu (SC),107,VIJAY KUMAR B.N,Telugu Desam,135,NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party,11,30385,20/20
Sarvepalli,119,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desam,135,KAKANI GOVARDHAN REDDY,Yuvajana Sramika Rythu Congress Party,11,16288,21/21
Sattenapalle,98,KANNA LAKSHMINARAYANA,Telugu Desam,135,AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party,11,27836,21/21
Satyavedu,169,KONETI ADIMULAM,Telugu Desam,135,NUKATHOTI RAJESH,Yuvajana Sramika Rythu Congress Party,11,3739,20/20
Singanamala (SC),152,BANDARU SRAVANI SREE,Telugu Desam,135,M.VEERANJANEYULU,Yuvajana Sramika Rythu Congress Party,11,8788,22/22
Srikakulam,5,GONDU SHANKAR,Telugu Desam,135,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,11,52521,20/20
Srikalahasti,168,BOJJALA VENKATA SUDHIR REDDY,Telugu Desam,135,BIYYAPU MADHUSUDHAN REDDY,Yuvajana Sramika Rythu Congress Party,11,43304,21/21
Srisailam,135,BUDDA RAJASEKHARA REDDY,Telugu Desam,135,SILPA CHAKRAPANI REDDY,Yuvajana Sramika Rythu Congress Party,11,6385,23/23
Srungavarapukota,19,KOLLA LALITHA KUMARI,Telugu Desam,135,KADUBANDI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,11,38790,21/21
Sullurpeta,121,NELAVALA VIJAYASREE,Telugu Desam,135,KILIVETI SANJEEVAIAH,Yuvajana Sramika Rythu Congress Party,11,29115,22/22
Tadepalligudem,62,BOLISETTY SRINIVAS,Janasena Party,21,KOTTU SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,11,62492,15/15
Tadikonda (SC),86,TENALI SRAVAN KUMAR,Telugu Desam,135,SUCHARITHA MEKATHOTI,Yuvajana Sramika Rythu Congress Party,11,39606,18/18
Tadpatri,151,ASHMIT REDDY J.C,Telugu Desam,135,KETHIREDDY PEDDAREDDY,Yuvajana Sramika Rythu Congress Party,11,27731,20/20
Tanuku,61,ARIMILLI RADHA KRISHNA,Telugu Desam,135,KARUMURI VENKATA NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,11,72121,17/17
Tekkali,3,ATCHANNAIDU KINJARAPU,Telugu Desam,135,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,11,34435,24/24
Tenali,91,NADENDLA MANOHAR,Janasena Party,21,ANNABATHUNI SIVAKUMAR,Yuvajana Sramika Rythu Congress Party,11,48112,21/21
Thamballapalle,162,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,11,D. JAYACHANDRA REDDY,Telugu Desam,135,10103,18/18
